f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,label
12646.2932,4.414613,2.640119,3.685951,6.649582,-1.806314,-2.668024,-8.784593,40176.3794,6.784748,10.481431,15.696101,22.374259,-7.71482,-11.49008,-31.714488,10014.1103,3.235984,3.247318,5.954761,9.631983,-2.353181,-3.850229,-10.990011,10080.4731,3.121851,3.264424,6.233081,10.820781,-2.35114,-3.751619,-10.499831,2652.3589,2.531665,1.013826,2.737795,5.124518,-0.626349,-1.301268,-4.799514,2307.4831,2.357019,0.883419,2.50933,5.102958,-0.539807,-1.048187,-4.464861,12989.311,3.477274,4.582391,9.532301,14.53704,-3.220598,-5.533891,-13.577896,13555.1704,3.425089,4.887836,10.507104,15.135767,-3.431831,-5.956754,-16.736735,33269.6221,5.143838,7.37386,9.74931,14.643669,-5.21889,-7.379863,-22.011513,22789.7168,4.363811,4.672763,6.14005,9.422618,-3.161014,-4.689536,-13.789785,12475.688,3.348857,3.663828,5.924676,9.246771,-2.71617,-3.995064,-9.046513,9857.6729,3.125423,2.941608,4.917276,6.92513,-2.219101,-3.251554,-7.131847,3478.7102,2.639409,1.292618,3.599052,6.168305,-0.778713,-1.385796,-2.993166,3506.2546,2.605998,1.287509,3.398017,5.764327,-0.76635,-1.287756,-3.174436,15719.5273,3.670931,4.977884,9.201316,12.807334,-3.739263,-6.014373,-11.917299,14076.3198,3.622608,4.564611,8.293939,12.032316,-3.306052,-5.275074,-11.037607,1
59164.5508,3.747344,24.234482,63.285533,84.885456,-12.188309,-26.31216,-55.924854,43015.2871,2.758407,12.910929,19.49497,35.739566,-9.654972,-14.546387,-51.619249,20642.0337,4.138859,6.384366,10.154168,15.082778,-5.499071,-8.89476,-23.153402,20851.441,4.001866,6.328083,9.964994,15.400306,-5.4185,-8.837315,-21.817116,3478.103,2.432088,1.356349,3.099507,5.197269,-0.960041,-1.818297,-5.346742,3036.1833,2.25885,1.174764,2.971514,5.712561,-0.838331,-1.660971,-6.251688,25118.4659,4.120763,8.8283,15.839695,23.930709,-7.163995,-12.757003,-30.047714,26613.5312,4.084028,9.334161,16.756216,24.214912,-7.646482,-13.416044,-34.031739,46155.5567,3.088299,12.107927,17.067966,28.69967,-8.742374,-12.303495,-39.924155,34925.0254,2.975463,8.254665,11.284512,19.798315,-6.208059,-8.731809,-29.175231,25039.1499,4.308407,7.525746,10.861229,14.683726,-6.292872,-9.402925,-20.552542,19445.3863,4.169645,5.828865,8.740648,12.237434,-5.036371,-7.836595,-15.578729,5256.5283,2.491215,1.897827,4.408946,7.562744,-1.430929,-2.509887,-4.987218,5267.9556,2.4937,1.905491,4.297192,6.409524,-1.411679,-2.435432,-5.238984,30475.9307,4.440647,10.166592,16.498807,21.48161,-8.48945,-13.82149,-29.045211,26309.1025,4.30814,8.963434,14.91834,19.499575,-7.276374,-12.044234,-22.362199,1
15876.0635,4.807744,4.637212,7.043818,7.970872,-2.368496,-3.046146,-5.967594,17572.9844,5.064043,5.842921,9.481689,10.680555,-2.685574,-3.474275,-6.244076,20486.7573,3.773954,6.579021,9.351954,11.300646,-2.996299,-4.13709,-7.575987,22817.9155,3.943257,7.303887,10.327205,12.227272,-3.164358,-4.381493,-8.558457,3632.7519,2.234522,1.537693,3.453378,4.504348,-0.725349,-1.201488,-2.308963,3726.8005,2.249758,1.538835,3.302955,4.332204,-0.72921,-1.14335,-2.161766,17439.0205,3.235646,6.712311,10.644561,12.511217,-2.952343,-4.426678,-7.067979,19940.6777,3.371353,7.565025,12.244777,13.957495,-3.299204,-5.099077,-8.859794,10405.8843,3.310413,2.824298,4.069027,5.354349,-1.428206,-1.871853,-4.486806,10960.6665,3.501472,2.629037,3.629186,4.938008,-1.347805,-1.770464,-4.916307,13544.48,3.191239,4.436293,6.260373,8.310053,-2.425052,-3.44137,-7.679849,14437.9995,3.418907,4.438779,6.141389,7.958903,-2.321685,-3.292557,-6.457611,6123.053,2.830713,2.422668,5.056592,6.668642,-1.175977,-1.883104,-4.224069,7042.9968,3.042268,2.600723,4.944869,6.507821,-1.330433,-2.020506,-3.875128,13875.9414,2.973088,5.252414,8.169421,9.780331,-2.833533,-4.447979,-7.568619,12126.231,2.891563,4.646027,7.301265,9.027033,-2.464311,-3.764517,-6.876123,0
4026.9267,1.972978,0.909239,1.317791,4.452643,-0.696762,-1.032372,-3.81302,7340.6582,2.856755,1.606254,2.072838,5.365057,-1.881701,-2.456015,-5.598423,9915.5369,7.282603,2.401088,3.215263,5.445978,-1.395994,-2.116872,-5.508779,10929.4974,7.325392,2.656246,3.598103,6.944463,-1.549793,-2.343723,-6.313995,3152.8532,4.021688,1.018919,1.813584,4.016023,-0.647752,-1.155751,-3.436777,2796.9478,3.997903,0.868578,1.571839,4.165586,-0.561152,-0.993455,-3.428597,10122.8429,6.130407,3.042932,4.456754,7.10976,-1.770985,-2.745567,-5.955816,11063.0418,6.375181,3.215262,4.67989,8.098591,-1.978589,-3.14031,-7.081452,2949.6753,1.529696,0.641588,1.1528,5.747689,-0.497222,-0.878775,-4.464917,3858.6323,1.887566,0.857424,1.354385,4.781526,-0.487935,-0.906764,-4.812992,8210.2605,6.012655,2.189082,3.086794,6.243305,-1.219749,-1.869187,-5.35243,8190.6734,6.113209,1.953151,2.621141,5.468826,-1.155983,-1.839295,-5.503915,3320.4563,4.445896,1.045234,1.893422,5.029883,-0.709533,-1.360228,-5.137899,3467.6016,4.676837,1.068454,1.877158,4.742098,-0.730616,-1.318305,-4.117618,8424.5825,4.887132,2.769083,4.184033,8.252044,-1.588748,-2.646656,-6.462213,7578.5136,4.860975,2.451133,3.795323,7.577344,-1.432666,-2.39009,-5.397477,0
71894.2864,21.762131,21.248251,31.726293,35.206031,-14.555393,-19.950601,-45.601205,73583.331,20.614759,23.667438,38.713522,42.582111,-14.774016,-20.965484,-45.285675,22949.8432,8.479301,6.737888,11.520071,13.317284,-4.811688,-6.962048,-13.094529,22823.8469,8.216343,6.695108,11.768105,13.256807,-4.793554,-7.001502,-12.542557,5608.9102,3.108653,2.27668,6.127012,8.270533,-1.296011,-2.20637,-4.021579,5133.7602,2.900477,2.063816,5.500554,7.049255,-1.131908,-1.860361,-3.644619,27787.9028,8.047898,9.512269,17.980766,20.174144,-6.429423,-9.953368,-15.851183,29323.4619,7.943406,10.237926,20.066015,22.592296,-7.035143,-11.327794,-18.535407,57796.8598,14.261758,16.273517,23.322605,28.497654,-10.217188,-13.824438,-37.810468,48362.3831,13.263289,12.360141,16.828976,20.227464,-7.95962,-10.668995,-25.824684,27568.761,10.04678,7.921517,12.107997,14.117268,-5.675071,-8.277884,-17.454271,21593.9331,8.789101,6.042605,9.249432,11.060122,-4.389067,-6.171032,-14.240467,7108.1211,3.488155,2.767625,7.678339,10.327428,-1.556083,-2.789952,-6.229292,7279.1584,3.541798,2.752629,7.278013,10.137577,-1.494295,-2.418832,-5.001604,34822.9797,9.840728,11.316702,19.66601,22.290868,-8.118617,-13.015554,-23.601954,30386.3374,9.196466,10.132252,17.742819,20.588766,-6.902293,-10.807632,-21.518342,1
18074.7896,3.571178,4.834582,6.44275,7.166245,-3.005737,-4.247018,-6.800057,17874.2885,4.034932,5.230928,7.470929,8.331318,-3.064335,-4.248697,-6.573402,21810.3232,4.181432,7.810773,11.720648,13.225104,-3.589103,-5.073338,-8.131887,24174.0976,4.465726,8.652266,12.944467,14.833693,-3.819965,-5.406884,-8.941554,6751.9314,3.42108,2.473002,4.518007,5.193166,-1.465159,-2.33183,-3.375318,7113.6301,3.566434,2.534979,4.47766,5.156162,-1.548179,-2.370461,-3.523189,20037.4004,3.913767,8.271849,13.774182,14.882411,-3.586671,-5.513575,-7.520591,22972.8814,4.23197,9.391976,15.748235,17.175735,-4.081842,-6.500411,-9.496219,11454.0454,3.509421,3.144099,4.333611,5.174736,-1.784091,-2.461164,-4.331187,12169.6406,3.131009,2.97348,3.917848,4.916597,-1.739196,-2.319511,-4.248947,14920.4922,3.110541,5.416924,8.136708,9.385922,-2.972604,-4.245691,-7.401547,16582.0376,3.741521,5.764993,8.529543,9.950588,-2.84008,-3.95977,-6.787109,8893.2913,4.030917,3.135019,5.522265,6.447012,-1.942855,-3.069147,-4.439649,10427.5857,4.382375,3.493897,5.880829,6.948836,-2.239914,-3.316478,-5.369675,16105.9633,3.205788,6.524921,10.882031,12.17327,-3.396833,-5.555537,-8.019612,14489.0049,3.22887,5.862716,9.832191,10.933647,-2.984388,-4.798644,-6.98885,0
3572.1176,1.845632,0.799546,1.368434,3.912976,-0.58747,-1.051408,-5.014914,17954.332,3.019327,5.257209,9.13597,14.993603,-3.192651,-5.177049,-17.422256,4817.2614,2.440049,1.678213,3.440122,5.944676,-1.023178,-1.736488,-6.58988,4848.3879,2.364,1.703785,3.482313,6.543968,-1.016872,-1.724611,-6.462844,1387.1351,1.851821,0.644614,1.866016,4.432426,-0.334527,-0.787083,-3.537742,1246.2983,1.780376,0.576469,1.746076,4.160692,-0.301903,-0.728278,-4.027894,6448.7715,2.565883,2.55422,5.668518,9.658933,-1.468439,-2.549938,-7.67027,6759.6646,2.553906,2.747878,6.422305,9.685515,-1.546975,-2.748329,-8.879288,15116.5518,2.340192,3.510995,5.381887,9.667569,-2.389018,-3.760652,-12.418105,9928.4043,1.997051,2.242957,3.493113,7.240709,-1.461012,-2.272729,-8.882699,5765.2959,2.420312,1.75105,3.075905,5.364566,-1.10811,-1.678004,-4.570369,4638.2829,2.328249,1.474505,2.654109,4.478118,-0.925404,-1.391905,-3.992763,1853.4422,1.933275,0.833888,2.479001,4.445051,-0.413678,-0.798706,-3.030502,1892.7345,1.947922,0.809183,2.289368,4.033822,-0.406879,-0.762887,-2.669016,7423.9482,2.58633,2.541197,5.314047,8.852601,-1.544532,-2.420925,-6.138661,6773.7881,2.554158,2.370815,4.857255,6.769308,-1.432227,-2.272821,-5.630639,1
9249.2173,3.621458,2.044,2.540003,3.012384,-1.391421,-1.714881,-2.653196,10947.9615,3.817055,2.693172,3.667951,4.143361,-1.652404,-2.101486,-3.092492,12455.2696,2.188325,3.239037,4.01389,5.074389,-1.811515,-2.72128,-4.992753,14048.2627,2.281276,3.662183,4.582142,6.143578,-1.975521,-2.894223,-4.848862,2714.8362,1.964343,0.773286,1.130161,1.584458,-0.526717,-0.776074,-1.390095,2777.156,1.958991,0.789162,1.157887,1.641509,-0.526529,-0.764802,-1.394057,12168.0117,2.142832,3.527728,4.712671,5.833104,-2.045821,-2.963084,-4.486823,14076.4033,2.237093,4.002454,5.369653,6.556452,-2.324941,-3.403996,-5.601986,8164.9084,3.527187,1.752905,2.23664,2.916979,-1.107589,-1.380071,-2.633071,8164.75,3.167359,1.601821,1.890195,2.623812,-1.063119,-1.354903,-2.648194,8153.6211,1.994524,2.137341,2.69973,3.772796,-1.476175,-2.13322,-4.078871,8648.7568,2.00796,2.188515,2.740324,4.302141,-1.384678,-2.103907,-4.144428,3818.7227,2.197332,1.070226,1.524434,2.288446,-0.728815,-1.046621,-2.276429,4721.7295,2.319803,1.287061,1.78208,2.450399,-0.857542,-1.261371,-2.33871,9688.5478,2.030287,2.766141,3.673118,5.062992,-1.964765,-2.870949,-4.828391,8434.4902,1.99798,2.397784,3.172159,4.20995,-1.674794,-2.477674,-4.387978,0
6203.0972,1.968213,2.034253,3.085394,5.739214,-1.328177,-1.920687,-4.538546,10410.1924,2.918732,3.663679,5.639996,7.961139,-2.134815,-3.095688,-7.194894,24719.7205,12.367827,9.563602,16.086448,20.328354,-4.758752,-7.301903,-14.770742,27304.9363,12.473344,10.607084,18.006005,21.399271,-5.136156,-8.119744,-16.887792,8259.8848,7.353066,3.027745,5.783006,8.202526,-2.297785,-4.143584,-6.573651,7247.6352,7.534687,2.613376,4.865214,7.557907,-1.975188,-3.423979,-5.851083,21741.45,9.802884,10.246028,21.627371,25.26188,-5.108572,-8.853032,-17.582161,24446.8205,10.38312,11.290431,23.310698,28.417274,-5.663441,-9.769432,-16.423195,1657.1289,1.200828,0.863561,1.748819,6.153994,-1.030273,-1.705279,-4.993026,1618.0659,1.214733,0.782223,1.497889,5.208965,-0.83585,-1.429616,-4.493103,17807.5634,8.577696,7.311999,12.897205,16.411409,-3.573942,-5.585964,-12.445319,18576.762,9.774427,7.419121,12.571623,16.342538,-3.635288,-5.717494,-12.487668,9228.6272,8.692954,3.287815,6.051726,8.605038,-2.71989,-4.779336,-8.971356,10798.0533,10.273384,3.579132,6.378232,10.591036,-3.276654,-5.747054,-10.755176,16817.4175,7.072571,8.336063,18.544024,22.262392,-4.285271,-7.65973,-14.184572,14989.1726,7.279905,7.425879,16.39967,20.299814,-3.818901,-7.198866,-11.714634,0
11010.7666,4.837972,2.260928,3.430859,6.063092,-1.33974,-2.322241,-8.325935,61865.207,10.862282,17.943294,26.585399,34.396101,-12.070031,-17.220416,-49.192081,16716.987,5.599851,5.275474,9.322399,14.518887,-3.967569,-6.424383,-15.303694,16737.7605,5.32954,5.253226,9.386573,13.510725,-3.960994,-6.302193,-14.572511,3834.6762,3.490785,1.487869,3.630604,6.836665,-0.922425,-1.785113,-5.402834,3329.405,3.191228,1.264549,3.208734,5.753149,-0.758896,-1.407404,-4.503383,21487.2592,5.946331,7.472089,14.462231,19.996933,-5.448926,-9.432533,-19.988058,22264.2734,5.852789,7.91859,15.625023,20.992683,-5.804173,-10.260961,-20.756099,52032.0684,7.987345,12.638896,16.80995,24.848767,-8.18741,-11.711192,-32.416799,37105.2192,7.015766,8.034426,10.328099,13.607186,-5.30147,-7.43092,-21.863892,21788.5488,6.06513,6.391757,9.914361,13.480558,-4.936902,-7.340285,-14.229461,17355.5246,5.610477,5.05813,7.928541,10.71271,-4.001124,-5.994016,-13.038284,5170.2196,3.810288,1.891274,4.848852,7.941571,-1.171625,-2.005228,-4.108165,5181.8011,3.749162,1.86131,4.60646,6.629701,-1.122786,-1.816459,-4.313716,27274.5659,6.707382,8.775323,15.034476,19.662897,-6.882809,-11.160836,-21.513803,24168.4673,6.417853,7.917159,13.519426,16.659893,-5.904755,-9.495567,-17.763132,1
